image_filename,日文名字 Japanese Name,中文名字 Chinese Name,类型 Type,相关作品 Relevant Work,相关人物 Relevant Character,相关柄图 Relevant Image,相关活动 Relevant Event,发行商经销商 Distributor,发行日期 Release Date,发行价格 Release Price ,发行地区 Release Region,信息来源 Resource,地点 Location,具体位置 Address,营业时间 Operation Hours,详细信息 Detailed Information
011.jpg,和山やま カラオケ行こ！パーカー,《去唱卡拉OK吧！》聪实 狂儿 训狗大师 拉链帽衫,衣服,去唱卡拉OK吧 （漫画）,"成田狂儿, 冈聪实",聪实 狂儿 训狗大师,,RE:SHAZAM,3/9/2021,,日本,https://x.com/reshazam_info/status/1367738300107132929,,,,
012.jpg,描き下ろし商品〈和山やま〉「ファミレス行こ。」Tシャツ,《去家庭餐厅吧。上》T恤,衣服,去家庭餐厅吧（漫画）,"成田狂儿, 冈聪实",聪实 狂儿 郁金香松饼咖啡,,RE:SHAZAM,,5940,日本,https://store.re-shazam.com/items/49526635,,,,"M：胸长66cm/衣长49cm/肩长 44cm/袖长19cm
L：胸长70cm/衣长52cm/肩长 47cm/袖长20cm
XL：胸长74cm/衣长55cm/肩长 50cm/袖长22cm"
013.jpg,描き下ろし商品〈和山やま〉「ファミレス行こ。」ねこねこぱにっくトートバッグ,《去家庭餐厅吧。上》 猫猫慌慌：真棒~ 手提袋,包包 收纳袋,去家庭餐厅吧（漫画）,成田狂儿,猫猫慌慌：真棒~,,RE:SHAZAM,8/7/2021,3850,日本,https://store.re-shazam.com/items/49526909,,,,"尺寸：宽33cm * 高40cm * 深15cm
材质：棉"
014.jpg,〈和山やま〉A4クリアファイル3種セット（内1種 描き下ろしイラスト）,《去唱卡拉OK吧！》&《为你着迷。》 一套三个A4文件夹,文件夹,"去唱卡拉OK吧 （漫画）, 为你着迷（漫画）","成田狂儿, 冈聪实, 二阶堂明, 目高优一, 林美良, 江间让二","聪实 狂儿 雨中撑伞 , 聪实 狂儿 训狗大师, 林美良 嘘",,RE:SHAZAM,8/7/2021,1650（一套）,日本,https://store.re-shazam.com/items/37271538,,,,
015.jpg,〈和山やま〉「カラオケ行こ！&ファミレス行こ。」A4クリアファイル3種セット（内1種 描き下ろしイラスト）,《去唱卡拉OK吧！》&《去家庭餐厅吧。上》 一套三个A4文件夹,文件夹,"去唱卡拉OK吧 （漫画）, 去家庭餐厅吧（漫画）","成田狂儿, 冈聪实","聪实 狂儿 郁金香松饼咖啡 , 聪实 蒙娜丽莎 , 猫猫慌慌：真棒~",,RE:SHAZAM,8/7/2021,1650（一套）,日本,https://store.re-shazam.com/items/49528034,,,,
016.jpg,描き下ろし商品〈和山やま〉「カラオケ行こ! 」和山先生の犬柄タオルハンカチ,和山山老师的狗-拿话筒版 《去唱卡拉OK吧！》 T恤,衣服,"去唱卡拉OK吧 （漫画）, 和山山原创",,"和山山的狗 麦克风, 和山山的狗",,RE:SHAZAM,8/7/2021,5830,日本,https://store.re-shazam.com/items/49526755,,,,"M：胸长65cm/衣长47.5cm/肩长 43cm/袖长18.5cm
L：胸长68cm/衣长50cm/肩长 45.5cm/袖长19.5cm
XL：胸长71cm/衣长52.5cm/肩长 48cm/袖长20.5cm"
017.jpg,描き下ろし商品〈和山やま〉「カラオケ行こ! 」和山先生の犬 Tシャツ,和山山老师的狗-拿话筒版 《去唱卡拉OK吧！》毛巾手帕,擦手巾,"去唱卡拉OK吧 （漫画）, 和山山原创",,"和山山的狗 麦克风, 和山山的狗",,RE:SHAZAM,8/7/2021,2200,日本,https://store.re-shazam.com/items/49527181,,,,"尺寸：宽37cm * 高34cm 
材质：棉"
018.jpg,"和山先生の犬ぬいぐるみ 数量限定
",和山山老师的狗-毛绒玩具 （数量限定版）,毛绒娃娃,和山山原创,,和山山的狗,,RE:SHAZAM,8/7/2021,4950,日本,,,,,
019.jpg,「カラオケ行こ！」グラフィックビッグポーチが,《去唱卡拉OK吧！》大号收纳袋,包包 收纳袋,去唱卡拉OK吧 （漫画）,"成田狂儿, 冈聪实",聪实 狂儿 空港再会,,RE:SHAZAM,12/18/2020,,日本,https://x.com/reshazam_info/status/1334422919829540865,,,,Comic Beam 25周年 Pop Up Store
020.jpg,「夢中さ、きみに。」グラフィックビッグポーチが,《为你着迷。》  大号收纳袋,包包 收纳袋,为你着迷（漫画）,"二阶堂明, 目高优一, 林美良, 江间让二","林美良 嘘, 林美良 熊猫头",,RE:SHAZAM,12/18/2020,,日本,https://x.com/reshazam_info/status/1334422919829540865,,,,Comic Beam 25周年 Pop Up Store
021.jpg,和山やま『女の園の星』直筆サイン入りアクリルプレート,《女校之星》 复制和山山签名亚克力板,亚克力立牌亚克力板,女校之星（漫画）,"小林老师, 星老师",女校之星 地铁,,,4/28/2024,10000,日本,https://shu-cream.com/goods/%E5%92%8C%E5%B1%B1%E3%82%84%E3%81%BE%E3%80%8E%E5%A5%B3%E3%81%AE%E5%9C%92%E3%81%AE%E6%98%9F%E3%80%8F%E7%9B%B4%E7%AD%86%E3%82%B5%E3%82%A4%E3%83%B3%E5%85%A5%E3%82%8A%E3%82%A2%E3%82%AF%E3%83%AA%E3%83%AB,,,,"尺寸：A4 横向 (297mm x 210mm)
页数：1
印刷：单面全彩
手工/复制手工签名"
022.jpg,和山やま『女の園の星』クリアファイル＋ステッカーセット（複製原画特典付き）,《女校之星》 透明文件夹+贴纸套装（附赠原画复制品）- 小林老师星老师复制原画,复制原画,女校之星（漫画）,"小林老师, 星老师",小林星 放大镜,,BOOTH,4/23/2021,2750 （套组出售）,日本,https://booth.pm/en/items/2709956,,,,
023.jpg,女の園の星／はんこ2個セット,《女校之星》 - 小林老师星老师 + 继续努力 印章套组,印章,女校之星（漫画）,"小林老师, 星老师",小林星 鬼脸,,BOOTH,4/28/2021,3850 （套组出售）,日本,https://booth.pm/en/items/2921344,,,,印章图案尺寸：3cm*3cm
024.jpg,女の園の星マグカップ,《女校之星》 - 星老师的杯子,杯子 盘子,女校之星（漫画）,星老师,星老师 马克杯,,RE:SHAZAM,10/18/2021,2860,日本,https://nijimen.kusuguru.co.jp/topics/200304,,,,"直径80mm*高95mm
材质：陶
重量：350g
容量：350ml"
